what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1560833184901
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1560833184901
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1560833184904
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1560833184907
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1560833184909
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1560833184911
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1560833184912
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1560833184913
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1560833184915
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1560833184919
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1560833184920
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1560833184924
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1560833184926
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1560833184927
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1560833184928
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1560833184929
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1560833184929
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1560833184930
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1560833184931
os,sysinfo,,,"win32",1560833184935
arch,sysinfo,,,"x86",1560833184935
ws,sysinfo,,,"win32",1560833184935
locale,sysinfo,,,"pt_BR",1560833184935
processors,sysinfo,,,"4",1560833184935
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1560833184935
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1560833184935
java.specification.name,sysinfo,,,"Java Platform API Specification",1560833184935
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1560833184935
java.specification.version,sysinfo,,,"1.6",1560833184935
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1560833184935
java.version,sysinfo,,,"1.6.0_23",1560833184935
java.vm.info,sysinfo,,,"mixed mode",1560833184935
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1560833184935
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1560833184935
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1560833184935
java.vm.specification.version,sysinfo,,,"1.0",1560833184935
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1560833184935
java.vm.version,sysinfo,,,"19.0-b09",1560833184935
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1560833185312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833418401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833418458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833421893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833426480
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1560833431303
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1560833433066
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1560833433150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833437104
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1560833439268
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1560833439285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833439431
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1560833439457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1560833439457
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833441869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833443429
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1560833443448
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1560833443448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833444215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833447592
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1560833449598
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1560833449969
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1560833449980
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1560833449984
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1560833449988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833451586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833554384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833569872
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833572381
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1560833573551
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1560833573598
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1560833574032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833577459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833585365
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1560833585435
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1560833585582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833589136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833730881
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833742278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833748938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833751778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833798075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560833807861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560834014696
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1560834015596
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1560834016069
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1560834017989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560834060464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560834104214
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1560834104401
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560834105434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560834109566
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1560834109616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560834113962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560834122533
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1560834163186
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1560834168934
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1560834169887
